exp_name,sample_dir,inference_type,ckpt_step,fid50k,num_steps,steps_per_pass,sampler,hidden_schedule_max_t,hidden_sphere_clamp,encode_linear_start_t,encode_fixed_start_t,encode_reground_t_fix,reground_fixed_enc_noise,reground_fixed_cond_noise,reground_shared_noise,recycle_t_fix,model_type,use_hidden_tokens,num_hidden_tokens,share_timestep_embedder,share_patch_embedder,use_per_token_encoding,hidden_weight,hidden_cos_weight,hidden_reg_weight,hidden_same_t_as_img,normalize_hidden,noisy_img_encode,hidden_grad_dyn_scale,hidden_grad_static_scale,hidden_t_shift_init,hidden_t_shift_final,hidden_t_shift_warmup,hidden_loss_warmup_start,hidden_loss_warmup_end,use_encode_mode_emb,hidden_guidance_scale,use_repa,repa_weight,repa_mode,semantic_weight,train_max_steps,weight_init,config,timestamp,cfg_scale,hidden_rep_guidance
sfd_1p0_4000000,lightningdit-1p0b-1-ckpt-4000000-euler-100-interval0.00-cfg1.50-shift0.00-balanced,standard,4000000,2.5179713742123795,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/finetune_no_hidden.yaml,2026-04-08T08:24:49,1.5,1.0
sfd_1p0_4000000,lightningdit-1p0b-1-ckpt-4000000-euler-100-balanced,standard,4000000,2.596748534729386,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/finetune_no_hidden.yaml,2026-04-06T21:39:55,,
1p0_finetune_no_hidden_0040000,lightningdit-1p0b-1-ckpt-0040000-euler-100-balanced,standard,40000,3.512937742554982,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/finetune_no_hidden.yaml,2026-04-08T11:38:59,1.0,1.0
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.88-fixenc,encodereground,60000,4.917562839718528,100,,euler,,True,,,0.88,True,False,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-03-31T19:06:47,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.90-fixenc,encodereground,60000,4.923834843737609,100,,euler,,True,,,0.9,True,False,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-01T05:28:29,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.85-fixenc,encodereground,60000,4.938044295591851,100,,euler,,True,,,0.85,True,False,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-03-31T19:11:02,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.92-fixenc,encodereground,60000,4.974392294595532,100,,euler,,True,,,0.92,True,False,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-01T06:14:43,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.88,encodereground,60000,5.075161436439885,100,,euler,,True,,,0.88,False,False,False,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T00:16:22,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.85,encodereground,60000,5.093030699799101,100,,euler,,True,,,0.85,False,False,False,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T00:16:58,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.90,encodereground,60000,5.093896937132058,100,,euler,,True,,,0.9,False,False,False,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-07T00:16:58,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.92,encodereground,60000,5.1075342285051875,100,,euler,,True,,,0.92,,,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-03-31T14:58:48,,
v4_mse001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.90,encodereground,60000,5.116780505037809,100,,euler,,True,,,0.9,,,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.01,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-03-31T12:29:37,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.92-fixenc-fixcond,encodereground,60000,5.127788543691679,100,,euler,,True,,,0.92,True,True,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-01T06:16:16,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.90-fixenc-fixcond,encodereground,60000,5.163821387024086,100,,euler,,True,,,0.9,True,True,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-01T06:14:30,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.80,encodereground,60000,5.174385587914742,100,,euler,,True,,,0.8,,,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-03-31T14:59:14,,
v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0060000,hiddenlightningdit_b_1_h8-ckpt-0060000-euler-100-balanced-hsphereclamp-encreground0.88-fixenc-fixcond,encodereground,60000,5.2081491477352415,100,,euler,,True,,,0.88,True,True,,,HiddenLightningDiT_B_1_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,0.5,cos_mse,2.0,100000,outputs/train/v2_finetune_no_hidden/checkpoints/1540000.pt,configs/sfd/hidden_b_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-01T06:14:30,,
